movieId,movieName,Date,Director,Actor,Length,Country
344929,前任3：再见前任,2017-12-29,田羽生,韩庚、郑恺、于文文、曾梦雪,119.0,中国大陆
1170264,芳华,2017-12-15,冯小刚,黄轩、苗苗、钟楚曦、杨采钰,136.0,中国大陆
1200984,妖铃铃,2017-12-29,吴君如,吴君如、沈腾、岳云鹏、张译,88.0,"中国大陆,中国香港"
368135,二代妖精之今生有幸,2017-12-29,肖洋,冯绍峰、刘亦菲、李光洁、郭京飞,110.0,中国大陆
343945,解忧杂货店,2017-12-29,韩杰,王俊凯、迪丽热巴、董子健、李鸿其,109.0,"中国大陆,中国香港"
345862,妖猫传,2017-12-22,陈凯歌,周雨、黄轩、染谷将太、张雨绮,129.0,"中国大陆,日本"
342068,寻梦环游记,2017-11-24,李·昂克里奇,安东尼·冈萨雷斯、本杰明·布拉特、盖尔·加西亚·贝纳尔、李·昂克里奇,105.0,美国
655258,机器之血,2017-12-22,张立嘉,成龙、罗志祥、欧阳娜娜、夏侯云姗,110.0,"中国大陆,中国台湾"
343905,帕丁顿熊2,2017-12-08,保罗·金,本·威士肖、杜江、休·格兰特、莎莉·霍金斯,103.0,"英国,法国,美国"
1197732,心理罪之城市之光,2017-12-22,徐纪周,邓超、阮经天、宋晓军、刘诗诗,124.0,中国大陆
1212450,小猫巴克里,2017-12-30,邱立伟,郭馨雅、林佑俽、屈中恒、蒋笃慧,86.0,中国台湾
1211570,咕噜咕噜美人鱼2,2017-12-30,杨广福,丁莹莹、杨进、卢瑶、苏子芜,92.0,中国大陆
337443,至爱梵高·星空之谜,2017-12-08,多洛塔·科别拉,道格拉斯·布斯、赵天宇、罗伯特·古拉奇克、多洛塔·科别拉,95.0,"英国,波兰"
344183,奇门遁甲,2017-12-14,袁和平,大鹏、倪妮、李治廷、周冬雨,113.0,"中国大陆,中国香港"
1204720,妈妈咪鸭,2018-03-09,赵锐,赵路、武皓栋、殷筱瑜、赵锐,90.0,"中国大陆,美国"
346625,至暗时刻,2017-12-01,乔·赖特,加里·奥德曼、克里斯汀·斯科特·托马斯、莉莉·詹姆斯、本·门德尔森,125.0,"英国,美国"
1135401,咖啡风暴,2017-12-30,克里斯蒂亚诺·博尔托内,米瑞安·达尔马兹欧、谭卓、芦芳生、黎一墨,110.0,"中国大陆,意大利,比利时"
342568,诡梦凶铃,2016-09-23,邓安东,方力申、李斯丹妮、王馨彤、何映桥,90.0,中国大陆
341195,正义联盟,2017-11-17,扎克·施奈德,本·阿弗莱克、亨利·卡维尔、盖尔·加朵、杰森·莫玛,120.0,美国
1212376,惊魂七夜,2017-12-21,喻彬,陈美行、曾帅、濡雪、沈凯,90.0,中国大陆
342362,相声大电影之我要幸福,2017-12-01,张栾,郭德纲、于谦、岳云鹏、郭麒麟,92.0,中国大陆
344422,东方快车谋杀案,2017-11-10,肯尼思·布拉纳,肯尼思·布拉纳、刘风、约翰尼·德普、王千源,114.0,"美国,马耳他"
1208145,笔仙咒怨,2017-12-01,邓安东,罗翔、江兰萱、俞晓晔、马卉,96.0,中国大陆
618704,七十七天,2017-11-03,赵汉唐,江一燕、赵汉唐、达哇桑周、洛桑群培,115.0,中国大陆
342109,咕噜咕噜美人鱼,2015-12-12,杨广福,张美娟、刘若班、赵梦娇、陈大刚,90.0,中国大陆
344661,邹碧华,2017-11-20,王兴东,王诗槐、刘小锋、王兴东、田水泉,88.0,中国大陆
1206402,圣诞奇妙公司,2017-12-15,阿兰·夏巴,阿兰·夏巴、奥黛丽·塔图、皮奥·马麦、格什菲·法拉哈尼,99.0,法国
1203120,巨额来电,2017-12-08,彭顺,陈学冬、张孝全、桂纶镁、蒋梦婕,123.0,"中国大陆,中国香港"
247948,星球大战：最后的绝地武士,2018-01-05,莱恩·约翰逊,黛西·雷德利、约翰·博耶加、奥斯卡·伊萨克、亚当·德赖弗,152.0,美国
1211089,北平以北,2017-12-08,艾辛,方亮,99.0,中国大陆
343447,尼斯：疯狂的心,2018-01-05,罗伯托·柏林厄,格劳瑞·皮尔丝、罗伯塔·罗德里格斯、费尔南多·埃拉斯、法布里肖·博利韦拉,109.0,巴西
1211465,醉佳导演,2018-01-05,武圣基,贺军翔、江若琳、刘宇、姚橹,89.0,中国大陆
1209177,南哥,2017-10-17,郑华,茹萍、艾丽娅、郑华、潘钧,91.0,中国大陆
672130,奇迹男孩,2018-01-19,斯蒂芬·卓博斯基,雅各布·特瑞布雷、朱莉娅·罗伯茨、欧文·威尔逊、伊扎贝拉·维多维奇,113.0,"美国,中国香港"
1209260,卧底巨星,2018-01-12,谷德昭,陈奕迅、李荣浩、李一桐、陈国坤,98.0,"中国大陆,中国香港"
1211555,天籁梦想,2018-01-09,张唯,落松土登、噶玛松姆、益西旦增、班玛久买,85.0,中国大陆
1211063,太空救援,2018-01-12,克利姆·希片科,弗拉季米尔·弗多维琴科夫、柳波芙·阿克肖诺娃、欧克萨娜·范德拉、玛丽亚·米罗诺娃,104.0,俄罗斯
341897,勇敢者游戏：决战丛林,2018-01-12,杰克·卡斯丹,道恩·强森、凯文·哈特、杰克·布莱克、凯伦·吉兰,119.0,美国
1200609,大世界,2018-01-12,刘健,朱昌龙、曹恺、曹寇、薛峰,77.0,中国大陆
71946,无问西东,2018-01-12,李芳芳,章子怡、黄晓明、王力宏、张震,138.0,中国大陆
344453,整形师·脸,2016-05-20,黄军,浦蒲、李雯雯、方慧、刘天佐,101.0,中国大陆
1210956,童话先生,2017-10-24,李宗泰,曹操、王静博、甫枭虎、蒋欣枚,90.0,中国大陆
329733,迷镇凶案,2018-01-12,乔治·克鲁尼,马特·达蒙、朱丽安·摩尔、奥斯卡·伊萨克、诺亚·尤佩,105.0,"美国,英国"
1211693,时空终点,2018-01-12,叶小舟,欧阳佳、高翔、雷诺儿、马筱哲,95.0,中国大陆
1208122,神秘巨星,2018-01-19,阿德瓦·香登,阿米尔·汗、塞伊拉·沃西、拉杰·阿晶、法如克·贾法尔,150.0,印度
493549,大寒,2018-08-14,张跃平,张双兵、鲁园、许薇、李可,110.0,中国大陆
346180,青蛙总动员,2016-04-30,杨仁贤,吉静、郭政建、白涛、杨仁贤,74.0,"中国大陆,中国台湾"
343887,守信少年,2015-09-01,齐为民,黑妹、王晓曦、郑雪、储小鹏,100.0,中国大陆
78537,我的影子在奔跑,2018-01-16,方刚亮,张静初、龙品旭、黎兆丰、王同辉,93.0,中国大陆
341323,一个人的课堂,2018-01-16,李军林,孙海英、韩三明、王乃训、宋四维,105.0,中国大陆
1212628,只想好好和你在一起,2018-01-05,屈珂羽,杨小璇、郑淑贤、周婧、刘嘉芮,95.0,中国大陆
